ordinal,name,rva,kind,pdb_rva_candidates
3645,?GetThisMessageMap@CDocument@@KGPBUAFX_MSGMAP@@XZ,0x00031728,code,2
3648,?GetThisMessageMap@CFrameWnd@@KGPBUAFX_MSGMAP@@XZ,0x00030400,code,2
3667,?GetThisMessageMap@CPropertyPage@@KGPBUAFX_MSGMAP@@XZ,0x00010128,code,2
3668,?GetThisMessageMap@CPropertySheet@@KGPBUAFX_MSGMAP@@XZ,0x00031308,code,2
3680,?GetThisMessageMap@CTreeCtrl@@KGPBUAFX_MSGMAP@@XZ,0x00031060,code,2
3682,?GetThisMessageMap@CView@@KGPBUAFX_MSGMAP@@XZ,0x00030128,code,2
3683,?GetThisMessageMap@CWinApp@@KGPBUAFX_MSGMAP@@XZ,0x000316f0,code,2
3684,?GetThisMessageMap@CWnd@@KGPBUAFX_MSGMAP@@XZ,0x0002fd76,code,2
3694,?GetTopLevelFrame@CWnd@@QBEPAVCFrameWnd@@XZ,0x00031e57,code,1
3709,?GetTypeInfoCount@CCmdTarget@@UAEIXZ,0x00031e54,code,4
3718,?GetTypeLib@CCmdTarget@@UAEJKPAPAUITypeLib@@@Z,0x00090efb,code,1
3719,?GetTypeLibCache@CCmdTarget@@UAEPAVCTypeLibCache@@XZ,0x00031e54,code,4
3760,?GetWindowTextA@CWnd@@QBEHPADH@Z,0x0000cba7,code,1
3761,?GetWindowTextA@CWnd@@QBEXAAV?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@@Z,0x00018f43,code,1
3762,?GetWindowTextLengthA@CWnd@@QBEHXZ,0x00090e9a,code,1
3799,?HitTest@CTreeCtrl@@QBEPAU_TREEITEM@@VCPoint@@PAI@Z,0x00089064,code,1
3801,?HtmlHelpA@CWinApp@@UAEXKI@Z,0x00091321,code,1
3802,?HtmlHelpA@CWnd@@UAEXKI@Z,0x0008f98a,code,1
3806,?InitApplication@CWinApp@@UAEHXZ,0x0000af3c,code,1
3832,?InitLibId@CWinApp@@UAEXXZ,0x00010d79,code,3
3875,?InsertColumn@CListCtrl@@QAEHHPBDHHH@Z,0x000897d1,code,1
3879,?InsertItem@CListCtrl@@QAEHIHPBDIIHJ@Z,0x00089824,code,1
3881,?InsertItem@CTabCtrl@@QAEJIHPBDHJ@Z,0x000893f5,code,1
3883,?InsertItem@CTreeCtrl@@QAEPAU_TREEITEM@@IPBDHHIIJPAU2@1@Z,0x00089010,code,1
3929,?IsDockBar@CControlBar@@UBEHXZ,0x00036639,code,1
3945,?IsFrameWnd@CFrameWnd@@UBEHXZ,0x000319a8,code,3
3946,?IsFrameWnd@CWnd@@UBEHXZ,0x00031e54,code,4
3948,?IsIdleMessage@CWinThread@@UAEHPAUtagMSG@@@Z,0x000291db,code,1
3949,?IsInvokeAllowed@CCmdTarget@@UAEHJ@Z,0x0000721c,code,1
3952,?IsKindOf@CObject@@QBEHPBUCRuntimeClass@@@Z,0x000358a5,code,1
3974,?IsSelected@CView@@UBEHPBVCObject@@@Z,0x00093f81,code,1
3987,?IsVisible@CControlBar@@UBEHXZ,0x000343cc,code,1
3989,?IsWindowEnabled@CWnd@@QBEHXZ,0x00035570,code,1
3991,?ItemHasChildren@CTreeCtrl@@QBEHPAU_TREEITEM@@@Z,0x00088f94,code,1
4001,?LineTo@CDC@@QAEHHH@Z,0x00019460,code,1
4014,?LoadAppLangResourceDLL@CWinApp@@UAEPAUHINSTANCE__@@XZ,0x000ae3d8,code,1
4019,?LoadFrame@CFrameWnd@@UAEHIKPAVCWnd@@PAUCCreateContext@@@Z,0x0000b4a6,code,1
4031,?LoadStdProfileSettings@CWinApp@@IAEXI@Z,0x0000be28,code,1
4035,?LoadStringA@?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAEHI@Z,0x00013789,code,1
4038,?LoadSysPolicies@CWinApp@@UAEHXZ,0x0000b04c,code,1
4041,?LoadToolBar@CToolBar@@QAEHPBD@Z,0x000a9db9,code,1
4081,?MakeLower@?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAEAAV12@XZ,0x00049fc8,code,1
4096,?MeasureItem@CCheckListBox@@UAEXPAUtagMEASUREITEMSTRUCT@@@Z,0x0003875a,code,11
4098,?MeasureItem@CComboBox@@UAEXPAUtagMEASUREITEMSTRUCT@@@Z,0x0003875a,code,11
4099,?MeasureItem@CListBox@@UAEXPAUtagMEASUREITEMSTRUCT@@@Z,0x0003875a,code,11
4100,?MeasureItem@CMenu@@UAEXPAUtagMEASUREITEMSTRUCT@@@Z,0x0000d6bd,code,6
4104,?MessageBoxA@CWnd@@QAEHPBD0I@Z,0x0008e54b,code,1
4115,?ModifyStyle@CWnd@@QAEHKKI@Z,0x0001212e,code,1
4123,?MoveTo@CDC@@QAE?AVCPoint@@HH@Z,0x0001941d,code,1
