name,target_rva,target_size,source,notes
?bfmeBegin@Glo012F1028Sub@@AAEXPAVGlo012F1028Item@@@Z,0x003C7010,220,Code/GameEngine/Source/Common/Glo012F1028Sub_bfmeNotify.cpp,reloc-derived;call-sites=1;identity=real
?bfmeFree923F@@YGXPAXH@Z,0x003C7420,262,Code/GameEngine/Source/Common/BfmeConv923.cpp,reloc-derived;call-sites=1;identity=real
?step@Gen003C75A0Owner@@QAEXXZ,0x003C75A0,58,Code/GameEngine/Source/Common/V4TwoCallForwarders.cpp,reloc-derived;call-sites=1;identity=generated
?Gen003C7780@@YAHHH@Z,0x003C7780,216,Code/GameEngine/Source/Common/BigObfHookWrappers.cpp,reloc-derived;call-sites=1;identity=generated
?Gen003C78B0@@YAHHH@Z,0x003C78B0,216,Code/GameEngine/Source/Common/BigObfHookWrappers.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeUse1052@BfmeJ1052@@QAEXPAH@Z,0x003C8160,332,Code/GameEngine/Source/Common/BfmeConv1052.cpp,reloc-derived;call-sites=1;identity=real
?bfmeStopTwoAQA@BfmeSubAQA@@QAEXXZ,0x003C9320,257,Code/GameEngine/Source/Common/BfmeConv414.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_003c9b30@@UAE@XZ,0x003C97B0,366,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_003ca640@@UAE@XZ,0x003CA480,265,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeFinish@Glo012F1028Sub@@AAEXPAVGlo012F1028Item@@H@Z,0x003CA7C0,423,Code/GameEngine/Source/Common/Glo012F1028Sub_bfmeNotify.cpp,reloc-derived;call-sites=1;identity=real
?drop@Gen003C8A50@@QAEXPAVGen003C8A50Result@@@Z,0x003CA9D0,662,Code/GameEngine/Source/Common/V4GuardedLookupFieldReads.cpp,reloc-derived;call-sites=1;identity=generated
?consume@Gen003BF540Owner@@QAE_NPAVGen003BD8D0Built@@@Z,0x003CAE40,89,Code/GameEngine/Source/Common/V4MirroredFlagUpdate.cpp,reloc-derived;call-sites=1;identity=generated
??0?$pair@$$CBUGen_t_003cd920_k4@@UGen_t_003cd920_p12cd@@@_STL@@QAE@ABU01@@Z,0x003CC780,212,Code/gen_small/tgrid_114.cpp,reloc-derived;call-sites=1;identity=generated
?call@Gen000135B1@@QAEXPAVY1ForEachArg@@0@Z,0x003CCE80,227,Code/GameEngine/Source/Common/Y1MemberVectorForEach.cpp,reloc-derived;call-sites=1;identity=generated
?Gen003CDD00@@YAXPAPAHHHPAHUQ3HeapCompare@@@Z,0x003CDD00,131,Code/GameEngine/Source/Common/Q3HeapAlgorithmFamily.cpp,reloc-derived;call-sites=5;identity=generated
?Gen003CEC30@@YAXPAUQ3SortElem4@@0UQ3SortCompare@@@Z,0x003CEC30,123,Code/GameEngine/Source/Common/Q3IntrosortFamilies.cpp,reloc-derived;call-sites=2;identity=generated
??0LargeGroupAudio@@QAE@XZ,0x003CEF00,176,Code/GameEngine/Source/Common/INI/INILargeGroupAudioUnusedKnownKeys.cpp,reloc-derived;call-sites=1;identity=real
?bfmeTake@BfmeSinkAB@@QAEXPAVBfmeVecAB@@@Z,0x003CF650,250,Code/GameEngine/Source/Common/Bfme5DropAndHandOver.cpp,reloc-derived;call-sites=1;identity=real
?_M_insert_overflow@?$vector@UGen_t_003d12a0_p8pod@@V?$allocator@UGen_t_003d12a0_p8pod@@@_STL@@@_STL@@IAEXPAUGen_t_003d12a0_p8pod@@ABU3@ABU__false_type@2@I_N@Z,0x003CFF30,302,Code/gen_small/tgrid_134.cpp,reloc-derived;call-sites=1;identity=generated
?apply@Gen00006D20@@QAEXPAVY1RangeWrapper@@@Z,0x003D0320,227,Code/GameEngine/Source/Common/Y1GatedRangeDispatch.cpp,reloc-derived;call-sites=1;identity=generated
?apply@Gen00025C75@@QAEXPAVY1RangeContext@@@Z,0x003D0440,224,Code/GameEngine/Source/Common/Y1GatedRangeDispatch.cpp,reloc-derived;call-sites=1;identity=generated
?call@Gen0001C184@@QAEXPAVY1ForEachArg@@@Z,0x003D07D0,227,Code/GameEngine/Source/Common/Y1MemberVectorForEach.cpp,reloc-derived;call-sites=1;identity=generated
