finding,file,line,confidence,source
OCLUpdate+0x20|m_bfmeTargetFrame|m_nextCreationFrame,Code/GameEngine/Source/GameLogic/Object/Update/OCLUpdate_getRemainingFrames.cpp,29,1.00,layout_witness
Object+0x12c|m_privateStatus|m_shroudRange,Code/GameEngine/Source/GameLogic/Object/SpecialPower/SpecialAbilityUpdate_clearAbilityBits.cpp,13,1.00,layout_witness
Object+0x344|m_deadFlags|m_privateStatus,Code/GameEngine/Source/GameLogic/AI/AIMoveAndEvacuateState.cpp,90,1.00,layout_witness
Object+0x78|m_mid|m_producerID,Code/GameEngine/Source/GameLogic/AI/PathfindObstacleCallbackDebb0.cpp,96,1.00,layout_witness
Object+0x8c|m_slice_padB|m_prev,Code/GameEngine/Source/Common/System/RadarObjectList.cpp,61,1.00,layout_witness
PlayerTemplate+0xc0|m_intrinsicSciencePurchasePoints|m_intrinsicSPP,Code/GameEngine/Source/Common/RTS/PlayerRankAndScience.cpp,99,1.00,field_names
ProductionPrerequisite+0xc|m_bfmeMap|m_prereqSciences,Code/GameEngine/Source/Common/RTS/ProductionPrerequisiteConstCopyBody.cpp,41,1.00,layout_witness
RAMFile+0x14|m_ramFileFields|m_data,Code/GameEngineDevice/Source/Win32Device/Common/Win32BIGFileOpenArchived.cpp,92,1.00,layout_witness
Radar+0xc|m_hidden|m_radarHidden,Code/GameEngine/Source/GameClient/InGameUIBodies.cpp,397,1.00,layout_witness
RadiusDecalUpdate+0x20|m_killWhenNoLongerAttacking|m_deliveryDecal,Code/GameEngine/Source/GameLogic/Object/Update/RadiusDecalUpdate_update.cpp,45,1.00,layout_witness
RefCountClass+0x4|m_numRefs|NumRefs,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DLightDrawDestructor.cpp,41,1.00,layout_witness
ScoreKeeper+0x124|m_powerPoints|m_totalUnitsBuilt,Code/GameEngine/Source/Common/RTS/ScoreKeeperScoring.cpp,109,1.00,layout_witness
ScoreKeeper+0x124|m_powerPoints|m_totalUnitsBuilt,Code/GameEngine/Source/Common/RTS/ScoreKeeperCounters.cpp,240,1.00,layout_witness
ScoreKeeper+0x12c|m_regionCommandPoints|m_totalBuildingsLost,Code/GameEngine/Source/Common/RTS/ScoreKeeperScoring.cpp,111,1.00,layout_witness
ScoreKeeper+0x12c|m_regionCommandPoints|m_totalBuildingsLost,Code/GameEngine/Source/Common/RTS/ScoreKeeperCounters.cpp,242,1.00,layout_witness
ScoreKeeper+0x130|m_regionResources|m_totalTechBuildingsCaptured,Code/GameEngine/Source/Common/RTS/ScoreKeeperScoring.cpp,112,1.00,layout_witness
ScoreKeeper+0x130|m_regionResources|m_totalTechBuildingsCaptured,Code/GameEngine/Source/Common/RTS/ScoreKeeperCounters.cpp,243,1.00,layout_witness
ScoreKeeper+0x134|m_regionPowerPoints|m_totalFactionBuildingsCaptured,Code/GameEngine/Source/Common/RTS/ScoreKeeperScoring.cpp,113,1.00,layout_witness
ScoreKeeper+0x134|m_regionPowerPoints|m_totalFactionBuildingsCaptured,Code/GameEngine/Source/Common/RTS/ScoreKeeperCounters.cpp,244,1.00,layout_witness
Script+0x28|m_frameToEvaluateAt|m_action,Code/GameEngine/Source/Common/RTS/TeamPrototypeScripts.cpp,105,1.00,layout_witness
Shell+0x48|m_bfmeTop|m_screenCount,Code/GameEngine/Source/GameClient/Shell_hide.cpp,149,1.00,layout_witness
SpecialPowerTemplate+0x115|m_sharedNSync|m_shortcutPower,Code/GameEngine/Source/GameLogic/Object/SpecialPower/SpecialPowerModule_isReady_Thunk.cpp,77,1.00,layout_witness
SpecialPowerTemplate+0x14|m_specialPowerType|m_type,Code/GameEngine/Source/GameLogic/Object/Update/SpecialAbilityUpdate_getSpecialPowerType.cpp,51,1.00,layout_witness
StreamingArchiveFile+0x20|m_streamingFields|m_file,Code/GameEngineDevice/Source/Win32Device/Common/Win32BIGFileOpenArchived.cpp,103,1.00,layout_witness
StreamingArchiveFile+0x28|m_size|m_curPos,Code/GameEngine/Source/Common/System/File.cpp,419,1.00,layout_witness
StructureCollapseUpdateModuleData+0x44|m_collapseDamping|m_bigBurstFrequency,Code/GameEngine/Source/Common/RTS/StructureCollapseUpdateModuleDataCtorThunk.cpp,57,1.00,field_names
StructureCollapseUpdateModuleData+0x48|m_maxShudder|m_collapseDamping,Code/GameEngine/Source/Common/RTS/StructureCollapseUpdateModuleDataCtorThunk.cpp,58,1.00,field_names
StructureCollapseUpdateModuleData+0x4c|m_bigBurstFrequency|m_maxShudder,Code/GameEngine/Source/Common/RTS/StructureCollapseUpdateModuleDataCtorThunk.cpp,59,1.00,field_names
StructureCollapseUpdateModuleData+0x50|m_fxs|m_maxShudder,Code/GameEngine/Source/Common/RTS/StructureCollapseUpdateModuleDataCtorThunk.cpp,60,1.00,field_names
SupplyWarehouseDockUpdate+0x88|m_boxesRemaining|m_boxesStored,Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/SupplyWarehouseDockUpdateConstructor.cpp,91,1.00,layout_witness
SupplyWarehouseDockUpdateModuleData+0x10|m_startingBoxes|m_startingBoxesData,Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/SupplyWarehouseDockUpdateConstructor.cpp,40,1.00,field_names
TerrainTracksRenderObjClass+0x10|m_bottomIndex|m_totalEdgesAdded,Code/GameEngineDevice/Source/W3DDevice/GameClient/TerrainTracksRenderObjClassSystemClearTracks.cpp,18,1.00,layout_witness
TerrainTracksRenderObjClass+0x10|m_bottomIndex|m_totalEdgesAdded,Code/GameEngineDevice/Source/W3DDevice/GameClient/TerrainTracksRenderObjClassInit.cpp,50,1.00,layout_witness
