name,address,notes
?$S103@?1??getClassMemoryPool@AIUpdateInterface@@CAPAVMemoryPool@@XZ@4IA,0x00EEFE34,pool-glue cascade static (back-solved)
?$S105@?1??getClassMemoryPool@PoisonedBehavior@@CAPAVMemoryPool@@XZ@4IA,0x00EEF830,pool-glue cascade static (back-solved)
?$S107@?1??getClassMemoryPool@SupplyWarehouseCripplingBehavior@@CAPAVMemoryPool@@XZ@4IA,0x00EEF91C,pool-glue cascade static (back-solved)
?$S112@?1??getClassMemoryPool@CreateCrateDie@@CAPAVMemoryPool@@XZ@4IA,0x00EEFBF8,pool-glue cascade static (back-solved)
?$S113@?1??getClassMemoryPool@CreateObjectDie@@CAPAVMemoryPool@@XZ@4IA,0x00EEFC00,pool-glue cascade static (back-solved)
?$S114@?1??getClassMemoryPool@CrushDie@@CAPAVMemoryPool@@XZ@4IA,0x00EEFC08,pool-glue cascade static (back-solved)
?$S116@?1??getClassMemoryPool@DestroyDie@@CAPAVMemoryPool@@XZ@4IA,0x00EEFC10,pool-glue cascade static (back-solved)
?$S118@?1??getClassMemoryPool@FXListDie@@CAPAVMemoryPool@@XZ@4IA,0x00EEFC18,pool-glue cascade static (back-solved)
?$S120@?1??getClassMemoryPool@SpecialPowerCompletionDie@@CAPAVMemoryPool@@XZ@4IA,0x00EEFC38,pool-glue cascade static (back-solved)
?$S121@?1??getClassMemoryPool@UpgradeDie@@CAPAVMemoryPool@@XZ@4IA,0x00EEFC40,pool-glue cascade static (back-solved)
?$S122@?1??getClassMemoryPool@KeepObjectDie@@CAPAVMemoryPool@@XZ@4IA,0x00EEFC28,pool-glue cascade static (back-solved)
?$S124@?1??getClassMemoryPool@AssistedTargetingUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFE3C,pool-glue cascade static (back-solved)
?$S131@?1??getClassMemoryPool@SupplyTruckAIUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF0308,pool-glue cascade static (back-solved)
?$S133@?1??getClassMemoryPool@DefaultProductionExitUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF04F8,pool-glue cascade static (back-solved)
?$S134@?1??getClassMemoryPool@DeletionUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFF04,pool-glue cascade static (back-solved)
?$S145@?1??getClassMemoryPool@DozerAIUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF0258,pool-glue cascade static (back-solved)
?$S147@?1??getClassMemoryPool@DynamicShroudClearingRangeUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFF24,pool-glue cascade static (back-solved)
?$S149@?1??getClassMemoryPool@FireSpreadUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFF4C,pool-glue cascade static (back-solved)
?$S151@?1??getClassMemoryPool@FireWeaponUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFF5C,pool-glue cascade static (back-solved)
?$S152@?1??getClassMemoryPool@FlammableUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFF64,pool-glue cascade static (back-solved)
?$S153@?1??getClassMemoryPool@FloatUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFF84,pool-glue cascade static (back-solved)
?$S160@?1??getClassMemoryPool@DeployStyleAIUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF0250,pool-glue cascade static (back-solved)
?$S161@?1??getClassMemoryPool@AssaultTransportAIUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF0248,pool-glue cascade static (back-solved)
?$S162@?1??getClassMemoryPool@HeightDieUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFF8C,pool-glue cascade static (back-solved)
?$S165@?1??getClassMemoryPool@LaserUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF702C,pool-glue cascade static (back-solved)
?$S168@?1??getClassMemoryPool@AutoFindHealingUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFE5C,pool-glue cascade static (back-solved)
?$S169@?1??getClassMemoryPool@CommandButtonHuntUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFEE4,pool-glue cascade static (back-solved)
?$S171@?1??getClassMemoryPool@DemoTrapUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFF0C,pool-glue cascade static (back-solved)
?$S177@?1??getClassMemoryPool@BattlePlanUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFEA8,pool-glue cascade static (back-solved)
?$S178@?1??getClassMemoryPool@LifetimeUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFFBC,pool-glue cascade static (back-solved)
?$S179@?1??getClassMemoryPool@RadiusDecalUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF0024,pool-glue cascade static (back-solved)
?$S17@?1??getClassMemoryPool@AutoHealBehavior@@CAPAVMemoryPool@@XZ@4IA,0x00EEF768,pool-glue cascade static (back-solved)
?$S180@?1??getClassMemoryPool@AutoDepositUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFE54,pool-glue cascade static (back-solved)
?$S186@?1??getClassMemoryPool@ProductionUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFFFC,pool-glue cascade static (back-solved)
?$S188@?1??getClassMemoryPool@ProneUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF0014,pool-glue cascade static (back-solved)
?$S189@?1??getClassMemoryPool@QueueProductionExitUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF0500,pool-glue cascade static (back-solved)
?$S190@?1??getClassMemoryPool@RadarUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF001C,pool-glue cascade static (back-solved)
?$S191@?1??getClassMemoryPool@SupplyCenterDockUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF04E8,pool-glue cascade static (back-solved)
?$S192@?1??getClassMemoryPool@RepairDockUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF04E0,pool-glue cascade static (back-solved)
?$S193@?1??getClassMemoryPool@RailedTransportDockUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF04D8,pool-glue cascade static (back-solved)
?$S196@?1??getClassMemoryPool@SlavedUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF004C,pool-glue cascade static (back-solved)
?$S200@?1??getClassMemoryPool@StealthDetectorUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF00A0,pool-glue cascade static (back-solved)
?$S201@?1??getClassMemoryPool@StealthUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF01CC,pool-glue cascade static (back-solved)
?$S202@?1??getClassMemoryPool@SpawnPointProductionExitUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF0508,pool-glue cascade static (back-solved)
?$S203@?1??getClassMemoryPool@SpawnBehavior@@CAPAVMemoryPool@@XZ@4IA,0x00EEF904,pool-glue cascade static (back-solved)
?$S207@?1??getClassMemoryPool@HijackerUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFF94,pool-glue cascade static (back-solved)
?$S210@?1??getClassMemoryPool@SupplyCenterProductionExitUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF0510,pool-glue cascade static (back-solved)
?$S211@?1??getClassMemoryPool@SupplyWarehouseDockUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF04F0,pool-glue cascade static (back-solved)
?$S213@?1??getClassMemoryPool@TransportAIUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF046C,pool-glue cascade static (back-solved)
?$S214@?1??getClassMemoryPool@WanderAIUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF0474,pool-glue cascade static (back-solved)
?$S218@?1??getClassMemoryPool@WorkerAIUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF0480,pool-glue cascade static (back-solved)
?$S21@?1??getClassMemoryPool@BridgeBehavior@@CAPAVMemoryPool@@XZ@4IA,0x00EEF778,pool-glue cascade static (back-solved)
?$S224@?1??getClassMemoryPool@ArmorUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF0518,pool-glue cascade static (back-solved)
?$S225@?1??getClassMemoryPool@CommandSetUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF054C,pool-glue cascade static (back-solved)
?$S228@?1??getClassMemoryPool@LocomotorSetUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF0584,pool-glue cascade static (back-solved)
?$S229@?1??getClassMemoryPool@ObjectCreationUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF059C,pool-glue cascade static (back-solved)
?$S230@?1??getClassMemoryPool@RadarUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF05BC,pool-glue cascade static (back-solved)
?$S233@?1??getClassMemoryPool@ModelConditionUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF0594,pool-glue cascade static (back-solved)
?$S234@?1??getClassMemoryPool@StatusBitsUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF05C4,pool-glue cascade static (back-solved)
?$S235@?1??getClassMemoryPool@SubObjectsUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF05D4,pool-glue cascade static (back-solved)
?$S236@?1??getClassMemoryPool@StealthUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF05CC,pool-glue cascade static (back-solved)
?$S237@?1??getClassMemoryPool@UnpauseSpecialPowerUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF05E4,pool-glue cascade static (back-solved)
?$S238@?1??getClassMemoryPool@WeaponBonusUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF05EC,pool-glue cascade static (back-solved)
?$S239@?1??getClassMemoryPool@WeaponSetUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF05F4,pool-glue cascade static (back-solved)
?$S23@?1??getClassMemoryPool@BridgeTowerBehavior@@CAPAVMemoryPool@@XZ@4IA,0x00EEF788,pool-glue cascade static (back-solved)
