name,export_rva,target_rva,target_size,source,status,notes
"?load@GameSpyLoginPreferences@@UAE_NVAsciiString@@@Z","","0x00082190","977","Code/masm_dumps/GameSpyLoginPreferences_load.asm","matched","Exact retail MASM; date nick and password key literals prove ownership"
"?Load@GridCullSystemClass@@UAEXAAVChunkLoadClass@@@Z","","0x008DEFE0","343","Code/Libraries/Source/WWVegas/WWMath/gridcull.cpp","matched",""
"?load@ImageCollection@@QAEXH@Z","","0x005D23A0","600","Code/GameEngine/Source/Common/ImageCollection_loadMethodThunk.cpp","matched","string-anchor Open-BFME4+Grok Data/INI/MappedImages/TextureSize_%d"
"?load@INI@@QAEXVAsciiString@@W4INILoadType@@PAVXfer@@@Z","","0x00853A20","259","Code/GameEngine/Source/Common/INI/ini.cpp","matched","the INI entry point; two catch handlers - the INIException one rebuilds and rethrows while the catch-all unPrepFiles - and the tail inlines unPrepFile which is what puts zero in ebx"
"?Load@INIClass@@QAEHAAVFileClass@@@Z","","0x009E5C80","145","Code/Libraries/Source/WWVegas/WWLib/ini.cpp","matched",""
"?Load@INIClass@@QAEHAAVStraw@@@Z","","0x009E4680","1411","Code/masm_dumps/__Load_INIClass__QAEHAAVStraw___Z_9E4680.asm","matched","SIZE IS SHORT: the real function runs to 0x009E4D4F (1744B) -- its last instruction is the jmp 0x009E48E8 at 0x009E4D4B and 0x009E4C7D jumps back to 0x009E48CF from beyond the claimed end; 333B are unclaimed. C++ from ini.cpp is structurally correct over the true extent and reaches 77.18%: same call sequence and same five source returns. What differs is register allocation -- retail enregisters one value more than we do (it shrink-wraps esi and caches strchr's IAT slot in ebp) which frees edi for `this` where we spend ebp on it; downstream of that retail gives each of the five returns its own CacheStraw cleanup while we tail-merge two. No source lever found: declaration order; an explicit CacheStraw destructor; #pragma function(strchr); and sequencing the reads all leave it at 398 bytes"
"?Load@INIClass@@QAEHPBD@Z","","0x009E5D20","131","Code/Libraries/Source/WWVegas/WWLib/ini.cpp","matched",""
"?Load@SceneClass@@UAEXAAVChunkLoadClass@@@Z","","0x00942D00","141","Code/Libraries/Source/WWVegas/WW3D2/scene.cpp","matched",""
"?load@W3DBridge@@QAE_NW4BodyDamageType@@@Z","","0x006D8C10","2836","Code/masm_dumps/_sa3__load_W3DBridge__QAE_NW4BodyDamageType___Z_6D8C10.asm","matched","true size 2836B; row claimed 2808B"
"?load@WaterRenderObjClass@@QAEXXZ","","0x0079F160","16","Code/GameEngineDevice/Source/W3DDevice/GameClient/Water/W3DWater.cpp","matched",""
"?Load_Animation@W3DAnimationLoader@@QAEXXZ","","0x0090C080","479","Code/Libraries/Source/WWVegas/WW3D2/Load_Animation_W3D.cpp","matched","BFME animation type loader exact 479B @ 0x90C080"
"?Load_Asset_Catalog@@YA_NPAX@Z","","0x00938150","1231","Code/GameEngineDevice/Source/W3DDevice/GameClient/Load_Asset_Catalog.cpp","matched","BFME ALAE catalog Load_3D stage exact 1231B @ 0x938150"
"?Load_Asset_Dat@@YA_NXZ","","0x00938620","1057","Code/GameEngineDevice/Source/W3DDevice/GameClient/Load_Asset_Dat.cpp","matched","BFME asset.dat bulk Load_3D_Assets entry exact 1057B @ 0x938620"
"?Load_Geom@W3DShadowGeometryManager@@QAEHPAVRenderObjClass@@PBD@Z","","0x007BD140","342","Code/GameEngine/Source/Common/W3DShadowGeometryManager_Load_Geom_Thunk.cpp","matched","Exact 342B MASM @0x7BD140; queue 0x7BD150 was mid-SEH. StringBase name@+0x10 not ZH char[]"
"?Load_Hierarchy@W3DHierarchyLoader@@QAEXXZ","","0x00971990","403","Code/Libraries/Source/WWVegas/WW3D2/Load_Hierarchy_W3D.cpp","matched","BFME hierarchy type loader exact 403B @ 0x971990"
"?Load_Registry@RegistryClass@@SAXPBDPAD1@Z","","0x009DCEE0","817","Code/Libraries/Source/WWVegas/WWLib/registry.cpp","matched",""
"?Load_W3D@AABTreeClass@@QAEXAAVChunkLoadClass@@@Z","","0x0096ABA0","219","Code/Libraries/Source/WWVegas/WW3D2/aabtree.cpp","matched",""
"?Load_W3D@BitChannelClass@@QAE_NAAVChunkLoadClass@@@Z","","0x009778D0","205","Code/Libraries/Source/WWVegas/WW3D2/motchan.cpp","matched",""
"?Load_W3D@HCompressedAnimClass@@QAEHAAVChunkLoadClass@@@Z","","0x0095C120","755","Code/Libraries/Source/WWVegas/WW3D2/hcanim.cpp","matched",""
"?Load_W3D@HRawAnimClass@@QAEHAAVChunkLoadClass@@@Z","","0x0095ACC0","634","Code/Libraries/Source/WWVegas/WW3D2/hrawanim.cpp","matched",""
"?Load_W3D@MotionChannelClass@@QAE_NAAVChunkLoadClass@@@Z","","0x009777A0","206","Code/Libraries/Source/WWVegas/WW3D2/motchan.cpp","matched",""
"?Load_W3D@SubObjectArrayClass@HLodDefClass@@QAE_NAAVChunkLoadClass@@@Z","","0x00978A80","257","Code/Libraries/Source/WWVegas/WW3D2/hlod.cpp","matched",""
