# Ghidra boundary artifacts among the <= 16 byte functions: RVAs whose
# retail bytes do not read as a complete function, so no source could ever
# reproduce them. tools/gen_small.py never claims one.
#
# Regenerate (deterministic, from the retail image): python3 tools/gen_small.py classify
# Format: 0x<rva> <reason>
0x00014C45 truncated-jmp: 1-byte body cannot hold a jmp rel32 (FUN_00414c45)
0x00014D12 mid-instruction-target: jmp rel32 to 0x003AC670, which is inside a known function and is not one's start
0x000150A5 mid-instruction-target: jmp rel32 to 0x00232AC0, which is inside a known function and is not one's start
0x000152B7 mid-instruction-target: jmp rel32 to 0x002E2C40, which is inside a known function and is not one's start
0x000153CA mid-instruction-target: jmp rel32 to 0x00784AC0, which is inside a known function and is not one's start
0x00015816 mid-instruction-target: jmp rel32 to 0x000E69A0, which is inside a known function and is not one's start
0x00015E83 mid-instruction-target: jmp rel32 to 0x00283010, which is inside a known function and is not one's start
0x00015E8D mid-instruction-target: jmp rel32 to 0x006969B0, which is inside a known function and is not one's start
0x00016293 mid-instruction-target: jmp rel32 to 0x007520F0, which is inside a known function and is not one's start
0x00017EAE mid-instruction-target: jmp rel32 to 0x0018B3B0, which is inside a known function and is not one's start
0x00017FDF mid-instruction-target: jmp rel32 to 0x00205E20, which is inside a known function and is not one's start
0x0001856B mid-instruction-target: jmp rel32 to 0x003FCF10, which is inside a known function and is not one's start
0x00018E58 mid-instruction-target: jmp rel32 to 0x001E1E00, which is inside a known function and is not one's start
0x00018E94 mid-instruction-target: jmp rel32 to 0x00232A30, which is inside a known function and is not one's start
0x000192B8 mid-instruction-target: jmp rel32 to 0x003CBE10, which is inside a known function and is not one's start
0x000194BB mid-instruction-target: jmp rel32 to 0x002AF0C0, which is inside a known function and is not one's start
0x00019F9C mid-instruction-target: jmp rel32 to 0x0013D0B0, which is inside a known function and is not one's start
0x0001A83E mid-instruction-target: jmp rel32 to 0x0013CFC0, which is inside a known function and is not one's start
0x0001AAAF mid-instruction-target: jmp rel32 to 0x004D4080, which is inside a known function and is not one's start
0x0001B3C4 mid-instruction-target: jmp rel32 to 0x00784AB0, which is inside a known function and is not one's start
0x0001B482 mid-instruction-target: jmp rel32 to 0x00783870, which is inside a known function and is not one's start
0x0001B4AA mid-instruction-target: jmp rel32 to 0x006BE480, which is inside a known function and is not one's start
0x0001B5BD mid-instruction-target: jmp rel32 to 0x0020E1C0, which is inside a known function and is not one's start
0x0001B83D mid-instruction-target: jmp rel32 to 0x00350740, which is inside a known function and is not one's start
0x0001B900 mid-instruction-target: jmp rel32 to 0x000689C0, which is inside a known function and is not one's start
0x0001C41D mid-instruction-target: jmp rel32 to 0x00169FA0, which is inside a known function and is not one's start
0x0001CC47 mid-instruction-target: jmp rel32 to 0x0075D3A0, which is inside a known function and is not one's start
0x0001CE5E mid-instruction-target: jmp rel32 to 0x0055BE80, which is inside a known function and is not one's start
0x0001D313 mid-instruction-target: jmp rel32 to 0x0036AE00, which is inside a known function and is not one's start
0x0001D82C mid-instruction-target: jmp rel32 to 0x003C63F0, which is inside a known function and is not one's start
0x0001D985 mid-instruction-target: jmp rel32 to 0x00169FC0, which is inside a known function and is not one's start
0x0001DEA8 mid-instruction-target: jmp rel32 to 0x000B9220, which is inside a known function and is not one's start
0x0001DF93 mid-instruction-target: jmp rel32 to 0x00094C10, which is inside a known function and is not one's start
0x0001E024 mid-instruction-target: jmp rel32 to 0x003BCEA0, which is inside a known function and is not one's start
0x0001E461 mid-instruction-target: jmp rel32 to 0x002329F0, which is inside a known function and is not one's start
0x0001E916 mid-instruction-target: jmp rel32 to 0x000C9F50, which is inside a known function and is not one's start
0x0001EF60 mid-instruction-target: jmp rel32 to 0x00337470, which is inside a known function and is not one's start
0x0001F68B mid-instruction-target: jmp rel32 to 0x003AC790, which is inside a known function and is not one's start
0x0001F717 mid-instruction-target: jmp rel32 to 0x00784A50, which is inside a known function and is not one's start
0x0001FC49 mid-instruction-target: jmp rel32 to 0x0075D1A0, which is inside a known function and is not one's start
0x0002036A mid-instruction-target: jmp rel32 to 0x00752150, which is inside a known function and is not one's start
0x00020374 mid-instruction-target: jmp rel32 to 0x002E2C80, which is inside a known function and is not one's start
0x00020BBC mid-instruction-target: jmp rel32 to 0x005BFF30, which is inside a known function and is not one's start
0x00021332 mid-instruction-target: jmp rel32 to 0x0060D9C0, which is inside a known function and is not one's start
0x00021459 mid-instruction-target: jmp rel32 to 0x003AC690, which is inside a known function and is not one's start
0x0002156C mid-instruction-target: jmp rel32 to 0x0048E610, which is inside a known function and is not one's start
0x000219D6 mid-instruction-target: jmp rel32 to 0x00169FE0, which is inside a known function and is not one's start
0x00021C33 mid-instruction-target: jmp rel32 to 0x003AC630, which is inside a known function and is not one's start
0x00021FC6 mid-instruction-target: jmp rel32 to 0x003AC710, which is inside a known function and is not one's start
0x00022502 mid-instruction-target: jmp rel32 to 0x006FA0F0, which is inside a known function and is not one's start
0x0002357E mid-instruction-target: jmp rel32 to 0x005A32F0, which is inside a known function and is not one's start
0x0002364B mid-instruction-target: jmp rel32 to 0x0075D660, which is inside a known function and is not one's start
0x00023BAA mid-instruction-target: jmp rel32 to 0x002606A0, which is inside a known function and is not one's start
0x00023C59 mid-instruction-target: jmp rel32 to 0x00069870, which is inside a known function and is not one's start
0x00023DD5 mid-instruction-target: jmp rel32 to 0x006BE470, which is inside a known function and is not one's start
0x000240DC mid-instruction-target: jmp rel32 to 0x0060A710, which is inside a known function and is not one's start
0x000240E1 mid-instruction-target: jmp rel32 to 0x0013D450, which is inside a known function and is not one's start
0x00024FC8 mid-instruction-target: jmp rel32 to 0x0036BF10, which is inside a known function and is not one's start
0x00025392 mid-instruction-target: jmp rel32 to 0x000E0BF0, which is inside a known function and is not one's start
0x00025A4A mid-instruction-target: jmp rel32 to 0x0047D790, which is inside a known function and is not one's start
0x00026B57 mid-instruction-target: jmp rel32 to 0x00232770, which is inside a known function and is not one's start
0x00026F53 mid-instruction-target: jmp rel32 to 0x001F8730, which is inside a known function and is not one's start
0x000275CA mid-instruction-target: jmp rel32 to 0x00403940, which is inside a known function and is not one's start
0x00027629 mid-instruction-target: jmp rel32 to 0x00232710, which is inside a known function and is not one's start
