rva	size	similarity	margin	zh_symbol	zh_source
0x001A55E0	801	0.63	0.38	?unitMoved@W3DTreeBuffer@@QAEXPAVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DTreeBuffer.cpp
0x001A7E30	252	0.91	0.91	?objectInteractsWithBridgeLayer@TerrainLogic@@UBE_NPAVObject@@H_N@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Map/TerrainLogic.cpp
0x001A9CE0	1412	0.86	0.56	??0Bridge@@QAE@PAVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Map/TerrainLogic.cpp
0x001AEA80	1102	0.61	0.35	?tryPosition@PartitionManager@@IAE_NPBUCoord3D@@MMPBUFindPositionOptions@@PAU2@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/PartitionManager.cpp
0x001B3510	805	0.66	0.66	?shotFired@FiringTracker@@QAEXPBVWeapon@@W4ObjectID@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/FiringTracker.cpp
0x001B8400	1878	0.63	0.13	?rotateObjAroundLocoPivot@Locomotor@@IAE?AW4PhysicsTurningType@@PAVObject@@ABUCoord3D@@MPAM@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Locomotor.cpp
0x001BCE20	542	0.68	0.68	?locoUpdate_moveTowardsAngle@Locomotor@@QAEXPAVObject@@M@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Locomotor.cpp
0x001CB730	473	0.67	0.00	?xfer@?$BitFlags@$0CN@@@QAEXPAVXfer@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Object.cpp
0x001D4530	581	0.99	0.99	?setOrRestoreTeam@Object@@IAEXPAVTeam@@_N@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Object.cpp
0x001EBEB0	1065	0.70	0.48	?getAbleToUseWeaponAgainstTarget@WeaponSet@@QBE?AW4CanAttackResult@@W4AbleToAttackType@@PBVObject@@1PBUCoord3D@@W4CommandSourceType@@W4WeaponSlotType@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/WeaponSet.cpp
