vtable_rva	label	slot	func_rva	func_name
0xD10E08	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	2	0xAB9B	clone
0xD10E08	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	3	0x37C04	createModule
0xD10E08	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	4	0x3B22D	writeINI
0xD10E0C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x3E3A1	thunk_FUN_009d9e30
0xD10E0C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0xAB9B	clone
0xD10E0C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x37C04	createModule
0xD10E0C	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x3B22D	writeINI
0xD10E20	`vftable'	1	0x3D88E	LoadPostProcess
0xD10E20	`vftable'	2	0x4009D	GetSnapshotName
0xD10E20	`vftable'	3	0x1B1A3	DoXfer
0xD10E34	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	0	0x2DC9	getClass
0xD10E34	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	1	0x173F	thunk_FUN_009d9f80
0xD10E34	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	2	0x4183F	clone
0xD10E34	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	3	0x1DA7A	createModule
0xD10E34	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	4	0x42465	writeINI
0xD10E38	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x173F	thunk_FUN_009d9f80
0xD10E38	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x4183F	clone
0xD10E38	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x1DA7A	createModule
0xD10E38	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x42465	writeINI
0xD10E4C	`vftable'	1	0x205E5	LoadPostProcess
0xD10E4C	`vftable'	2	0x24839	GetSnapshotName
0xD10E4C	`vftable'	3	0x1B3AB	DoXfer
0xD10E60	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	0	0x5B5F	getClass
0xD10E60	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	1	0x24CE4	thunk_FUN_009da0d0
0xD10E60	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	2	0x48D5B	clone
0xD10E60	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	3	0x347BB	createModule
0xD10E60	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	4	0x4748D	writeINI
0xD10E64	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x24CE4	thunk_FUN_009da0d0
0xD10E64	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x48D5B	clone
0xD10E64	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x347BB	createModule
0xD10E64	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x4748D	writeINI
0xD10E78	`vftable'	1	0x73FB	LoadPostProcess
0xD10E78	`vftable'	2	0x204E1	GetSnapshotName
0xD10E78	`vftable'	3	0x3967B	DoXfer
0xD10E8C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	0	0x245C8	getClass
0xD10E8C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	1	0x2D344	thunk_FUN_009da220
0xD10E8C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	2	0x2AE87	clone
0xD10E8C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	3	0x9BAB	createModule
0xD10E8C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	4	0x1AA87	writeINI
0xD10E90	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x2D344	thunk_FUN_009da220
0xD10E90	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x2AE87	clone
0xD10E90	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x9BAB	createModule
0xD10E90	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x1AA87	writeINI
0xD10EA4	`vftable'	1	0x2997E	LoadPostProcess
0xD10EA4	`vftable'	2	0x26323	GetSnapshotName
0xD10EA4	`vftable'	3	0x3EA86	DoXfer
0xD10EB8	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	0	0x88A5	getClass
0xD10EB8	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	1	0x109BA	thunk_FUN_009da3e0
0xD10EB8	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	2	0x3ADBE	clone
0xD10EB8	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	3	0x2967C	createModule
0xD10EB8	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	4	0x15D43	writeINI
0xD10EBC	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x109BA	thunk_FUN_009da3e0
0xD10EBC	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x3ADBE	clone
0xD10EBC	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x2967C	createModule
