size,rva,zh_symbol,zh_source,dump_file
73,0x1790f0,?onExit@AIFollowWaypointPathExactState@@UAEXW4StateExitType@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIStates.cpp,game/gen_asm/d_00177320.asm
72,0x214f00,??0RailedTransportAIUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/RailedTransportAIUpdate.cpp,game/gen_asm/d_0020eb40.asm
70,0xc41c0,?canMakeObjectDefector@ActionManager@@QAE_NPBVObject@@0W4CommandSourceType@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/RTS/ActionManager.cpp,game/gen_asm/d_000bb0e0.asm
68,0x61cd80,?notifySubdualDamage@SubdualDamageHelper@@QAEXM@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Helper/SubdualDamageHelper.cpp,game/gen_asm/d_0060e0d0.asm
65,0x28ca70,?detonate@DemoTrapUpdate@@QAEXXZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DemoTrapUpdate.cpp,game/gen_asm/d_0027db50.asm
65,0x2282b0,?privateIdle@ChinookAIUpdate@@MAEXW4CommandSourceType@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/ChinookAIUpdate.cpp,game/gen_asm/d_00226cf0.asm
63,0x17adc0,?doDrawModule@W3DOverlordAircraftDraw@@UAEXPBVMatrix3D@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DOverlordAircraftDraw.cpp,game/gen_asm/d_00168d40.asm
62,0x7696b0,?getBestModelNameForWB@W3DModelDrawModuleData@@QBE?AVAsciiString@@ABV?$BitFlags@$0HF@@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp,game/gen_asm/d_00752a20.asm
62,0x4795a0,?winActivate@GameWindow@@QAEHXZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GameWindow.cpp,game/gen_asm/d_00475b00.asm
61,0x3b5100,??0DemoTrapUpdateModuleData@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DemoTrapUpdate.cpp,game/gen_asm/d_003ad560.asm
