rva	size	similarity	margin	zh_symbol	zh_source
0x0028CAD0	380	0.79	0.47	?update@DemoTrapUpdate@@UAE?AW4UpdateSleepTime@@XZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DemoTrapUpdate.cpp
0x00295760	654	0.87	0.87	?update@HeightDieUpdate@@UAE?AW4UpdateSleepTime@@XZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/HeightDieUpdate.cpp
0x002A4880	501	0.82	0.07	?doAttackLogic@SlavedUpdate@@QAEXPBVObject@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SlavedUpdate.cpp
0x002A4B00	451	0.82	0.01	?doScoutLogic@SlavedUpdate@@QAEXPBUCoord3D@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SlavedUpdate.cpp
0x002A4F90	679	0.89	0.89	?setRepairState@SlavedUpdate@@QAEXW4RepairStates@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SlavedUpdate.cpp
0x002A5300	373	0.78	0.78	?doRepairLogic@SlavedUpdate@@QAEXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SlavedUpdate.cpp
0x002A5500	858	0.79	0.52	?update@SlavedUpdate@@UAE?AW4UpdateSleepTime@@XZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SlavedUpdate.cpp
0x002A71E0	681	0.74	0.74	?continuePreparation@SpecialAbilityUpdate@@IAE_NXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SpecialAbilityUpdate.cpp
0x002AA4B0	734	0.71	0.71	?finishAbility@SpecialAbilityUpdate@@IAEXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SpecialAbilityUpdate.cpp
0x002B0250	964	0.89	0.36	?update@StructureToppleUpdate@@UAE?AW4UpdateSleepTime@@XZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/StructureToppleUpdate.cpp
0x002B4C00	1199	0.91	0.63	?update@AssaultTransportAIUpdate@@UAE?AW4UpdateSleepTime@@XZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/AssaultTransportAIUpdate.cpp
0x002B9B80	330	0.96	0.24	?aiDoCommand@DozerAIUpdate@@UAEXPBUAICommandParms@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/DozerAIUpdate.cpp
0x002BD310	525	0.75	0.13	?onEnter@AIGuardOuterState@@UAE?AW4StateReturnType@@XZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIGuard.cpp
0x002C0FE0	290	0.66	0.66	?update@AIGuardIdleState@@UAE?AW4StateReturnType@@XZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIGuard.cpp
