file,status,located,ambiguous,unlocated,blocker,landable
Libraries/Source/WWVegas/WWLib/crcpipe.cpp,ok,0,0,1,,
Libraries/Source/WWVegas/WWLib/crcstraw.cpp,ok,0,0,1,,
Libraries/Source/WWVegas/WWLib/critsection.cpp,ok,0,0,1,,
Libraries/Source/WWVegas/WWLib/data.cpp,compile-error,0,0,0,"C3861 'LoadString': identifier not found, even with argument-dependent lookup",
Libraries/Source/WWVegas/WWLib/ddraw.cpp,missing-header,0,0,0,ddraw.h,
Libraries/Source/WWVegas/WWLib/dib.cpp,compile-error,0,0,0,C2227 left of '->bmiColors' must point to class/struct/union,
Libraries/Source/WWVegas/WWLib/draw.cpp,missing-header,0,0,0,ddraw.h,
Libraries/Source/WWVegas/WWLib/dsurface.cpp,missing-header,0,0,0,ddraw.h,
Libraries/Source/WWVegas/WWLib/fixed.cpp,ok,0,0,3,,
Libraries/Source/WWVegas/WWLib/hsv.cpp,ok,0,0,5,,
Libraries/Source/WWVegas/WWLib/jshell.cpp,ok,0,0,4,,
Libraries/Source/WWVegas/WWLib/keyboard.cpp,compile-error,0,0,0,C2061 syntax error : identifier 'HACCEL',
Libraries/Source/WWVegas/WWLib/lcw.cpp,ok,0,0,2,,
Libraries/Source/WWVegas/WWLib/lcwpipe.cpp,ok,0,1,4,,
Libraries/Source/WWVegas/WWLib/load.cpp,ok,0,0,1,,
Libraries/Source/WWVegas/WWLib/lzo.cpp,ok,0,0,2,,
Libraries/Source/WWVegas/WWLib/lzo1x_c.cpp,ok,0,0,2,,
Libraries/Source/WWVegas/WWLib/lzo1x_d.cpp,ok,0,0,1,,
Libraries/Source/WWVegas/WWLib/lzopipe.cpp,ok,0,1,4,,
Libraries/Source/WWVegas/WWLib/lzostraw.cpp,ok,0,1,3,,
Libraries/Source/WWVegas/WWLib/mixfile.cpp,ok,5,54,45,,
Libraries/Source/WWVegas/WWLib/mono.cpp,missing-header,0,0,0,winioctl.h,
