size,rva,zh_symbol,zh_source,dump_file
2531,0x93a810,?Flush@SortingRendererClass@@SAXXZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/sortingrenderer.cpp,Code/Libraries/Source/WWVegas/WW3D2/sortingrenderer_Flush.asm
1439,0x6cc0a0,?getMaximumVisibleBox@BaseHeightMapRenderObjClass@@QAE_NABVFrustumClass@@PAVAABoxClass@@_N@Z,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/BaseHeightMap.cpp,Code/GameEngineDevice/Source/W3DDevice/GameClient/BaseHeightMap_getMaximumVisibleBox.asm
784,0x4efaf0,?WOLBuddyOverlaySystem@@YA?AW4WindowMsgHandledType@@PAVGameWindow@@III@Z,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLBuddyOverlay.cpp,Code/gen_asm/d_004e5420.asm
750,0x7a46e0,??0Upgrade@@QAE@PBVUpgradeTemplate@@@Z,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/System/Upgrade.cpp,Code/gen_asm/d_0079d530.asm
750,0x7a46e0,??0TintEnvelope@@QAE@XZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/Drawable.cpp,Code/gen_asm/d_0079d530.asm
750,0x7a46e0,??0TeamInQueue@@QAE@XZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPlayer.cpp,Code/gen_asm/d_0079d530.asm
750,0x7a46e0,??0Script@@QAE@XZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/Scripts.cpp,Code/gen_asm/d_0079d530.asm
750,0x7a46e0,??0ObjectTypes@@QAE@XZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/ObjectTypes.cpp,Code/gen_asm/d_0079d530.asm
750,0x7a46e0,??0Locomotor@@IAE@ABV0@@Z,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Locomotor.cpp,Code/gen_asm/d_0079d530.asm
601,0x211a50,??0WorkerAIUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/WorkerAIUpdate.cpp,Code/gen_asm/d_0020eb40.asm
458,0x9436c0,?Render@SceneClass@@MAEXAAVRenderInfoClass@@@Z,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/scene.cpp,Code/gen_asm/d_00939520.asm
342,0x940610,??0FontCharsClass@@QAE@XZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/render2dsentence.cpp,Code/gen_asm/d_00939520.asm
322,0x210730,??0FXListStore@@QAE@XZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/FXList.cpp,Code/gen_asm/d_0020eb40.asm
310,0x79efd0,??0MobNexusContainModuleData@@QAE@XZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/MobNexusContain.cpp,Code/gen_asm/d_0079d530.asm
305,0x1adb80,??0PolygonTrigger@@QAE@H@Z,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Map/PolygonTrigger.cpp,Code/gen_asm/d_001aba80.asm
287,0x729180,??0ControlBarSchemeAnimation@@QAE@XZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBarScheme.cpp,Code/gen_asm/d_00725710.asm
284,0x6ca4f0,?freeMapResources@BaseHeightMapRenderObjClass@@UAEHXZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/BaseHeightMap.cpp,Code/gen_asm/d_006c0fa0.asm
266,0x71d130,?cull@W3DTreeBuffer@@IAEXPBVCameraClass@@@Z,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DTreeBuffer.cpp,Code/gen_asm/d_00717e90.asm
244,0x77f050,??0W3DTankDraw@@QAE@PAVThing@@PBVModuleData@@@Z,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DTankDraw.cpp,Code/gen_asm/d_004507a0.asm
239,0x6fc970,?Update_Sub_Object_Transforms@CollectionClass@@MAEXXZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/collect.cpp,Code/gen_asm/d_006fb8e0.asm
